"city","requirement"
"Павлодар","Нужен витамин С, что-то по городу нигде нет "
"Форт шевченко ","Инфезол 250"
"Алматы ","Добрый день очень срочно нужен препарат Дексаметазон купим 🙏🙏🙏"
"Алматы","Добрый день! Я в положении и мне назначили Ферниксил и аскарбиновую кислоту (дрожжи). Не могу найти в аптеках, если есть возможность помогите пожалуйста! Спасибо большое!"
"Алматы","Нужен дексаметазон, мепомене "
"Алматы","нужен градусник"
"Алматы ","Нужен Меропенем для мамы, у кого есть или остались, отзовитесь 🙏🏻 Благодарю 🙌🏻"
"Экибастуз","Нужны антибиотики Цефтриаксон,денсаметазон"
"Алматы ","Лекарство нужен,какую незнаю,болею уже 2раз"
"Алматы","Срочно куплю клексан или фраксипарин"
"Мерке","Пожалуйста кто может достать Реанберин и 2 системы, куплю♥️"
"Нур сұлтан ","Продукта "
"Кызылорда","Срочно нужны лекарств 1) Цефоме 2) Витамин  3) Левомак таблетка"
"Кандыагаш ","Парацетамол"
"Жанкорған ","Парастамол"
"Алматы алатауски раион  улжан 1 қара булақ 21","Прадокты қйналып отрмыз."
"Алматы","нужен препарат КСАРЕЛТО🙏🏻🙏🏻 спасибо"
"Кызылорда ","нужен глюкоза,аскорбиновая кислота и цефазалин,кальций хлористый "
"қызылорда","ибупрофен"
"Алматы","Нужен Меропенен"
"Астана","Левофлоксацин 500 мг - 1 упаковка "
"Шортанды ","Тысячу раз думала писать не писать, всегда думала зачем люди просят когда можно работать когда знаешь что рождается ребёнок для себя, а не для государства! Или когда у известных людей просят о помощи вообще не понимала потому что считала чем шикарней жизнь тем шикарней расходы! Но до сегодняшнего дня никогда в жизни не думала что дойдёт наша семья до такой ситуации 🤕даже трафик на днях должен закончится последние дни в интернете в сфере информационной активности 😑 Вот реально для чего дипломы государственная работа стабильность когда в один момент остаёшься без продуктов и копеек на хлеб не говоря уже о лекарствах 😔 Очень тяжело когда дети просят что что-то сладкое или фрукты аж плакать хочется 😪и ради детей в долгах как в шлепках в магазине. Я мама двух мальчишек и учитель работаю в школе хотя по закону ещё в декрете должна сидеть вышла из-за не хватки средств не на жизнь, а на выживание в нашем Казахстане. Живём в посёлке 60 км. От Нурсултана муж работает в городе тренером, но как начался карантин ещё с 16 марта всё пошло в пух и прах. На сегодняшний день ситуация такая что 1.продуктов нет (из лекарства только курдючный жир) 2.долги растут в магазинах просто даже из-за хлеба и молока 3.кредиты отдельная история даже говорить не хочется СТЫДНО 4.хоть крыша над головой есть, но после ливней всё стекает теперь в нашем доме происходит следующее замыкание пошло кабель сгорел неделю без света представляете как детям маленьким объяснить что света нет и не могу им из-за этого включить телевизор мультики, сотку заряжаешь у соседей , хорошо что хоть газ есть чтобы кушать готовить🙏 Как говорится мир не без добрых людей сегодня смогли нам сделать свет , но пришла квитанция что из-за долгов могут отрезать🥴как я устала вроде крутиться что что-то пытаешься сделать но всё равно не живёшь, а выживаешь! А скоро зима и снова нас всех закрыли на ЧП на что будем уголь брать даже не представляю. Но всё равно считаю что это мелочи жизни которые когда-нибудь пройдут главное что мои дети здоровы, муж рядом поддерживает спасибо Аллаху 🙌❤ Вы молодцы что так поддерживаете население хотела бы что ваша помощь в первую очередь пришла тем кто действительно нуждается! А вашим деткам кто помогает хочу пожелать главное здоровье, а ваша добро что вы делаете чтобы вам в тысячу раз вернулось ❤"
"Алматы","Нужны лекарств Не можем найти, пневмания двусторонняя у 32 летнего парня, пожалуйста помогите найти лекарств Лечение  Акра снижение SpO2 < 93% при дыхании, воздухом 90 Объем жидкости 280
Обильное щелочное питье : Боржоми,Нарзан  1800.0 мл в сутк
Реамбирин 250,0 в/в №  Медоцеф (Medocef) 1,0 gr  по  4,0 мл  /* 2 раз/сутки 1 флакон на  2,0 мл  вода для инъекций + 2,0 лидокаина  1%  с пробой 0,2 мл   в  7-19 № 7 - 1
Мерапенем 1,0 грамм  лучше или Меркацин (Амикацин)  500 мг/2 мл + Физ.раствор 0,9% 200.0 мл 200.0 мл в/в 1 раз /сутки -7 дней  в  12-00  №  ил Меркацин 100 мг/4 мл +  Физ.раствор 0,9% 200.0 мл 1 раз /сутки -5 дней  ,с пробой  0,3   в  12-00 №
Мидронат Mildronate 0,5 мг/5мл  - 5,0мл в/в №  Кипферон 500000 МЕ по 1 свече * 2 раз/сутки ректально  №
Генферон 1000000 МЕ по 1 свече * 2 раз/сутки ректально  №
Небулайзер компрессорный  ч/з мундштук
Ингаляции Флуимуцил Антибиотик ИТ 2,0 мл + 2,0 мл  физ.ра  в  7-13-19 № 7
Верошпирон 50 мг * 1 раз/сутки №
Кардиомагнил 100 мг или Тромбо Асс  75 мг   по 1 таб * 1 раз/сутки Или Ривароксабан (Ксарелто) 10 мг по  1 таб * 1 раз/сутк
Вобэнзим +  по  1 таб * 3 раз/сутки в рот во время еды №
Вобэнзим +  по  2 таб * 3 раз/сутки в рот во время еды № 1  Кауха снижение SpO2 < 93% при дыхании воздухом 90% Боржоми 1600 мл в сутки
Реамбирин 250.0 мл в/в - № 5 суток или Физ.раствор 200.0 №  Медоцеф (Medocef) 1,0 gr  по  3,0 мл  * 2 раз/сутки 1 флакон на  2,0 мл  вода для инъекций + 2,0 лидокаина  1%  с пробой 0,2 мл   в  7-19 №
 Меркацин 100 мг/2 мл 4,0 мл +  физраствор 200.0 мл в/в 1 раз /сутки -5 дней  в  12-00 Виферон 3000000 МЕ по 1 свече * 1 раз/сутки ректально  №
Промывание носа раствором Аквамарис в  8-30,14-30,20-30 №
Полидекса по 2 впрыска * 3 раз/сутки в нос 9-15-21№
Небулайзер компрессорный  ч/з мундштук Ингаляции Флуимуцил Антибиотик ИТ 2,0 мл + 2,0 мл  физ.ра  в  7-30,13-30,19 -30№ 7
Верошпирон 50 мг * 1 раз/сутки  №
Кардиомагнил 75 мг или Тромбо Асс  75 мг   по 1 таб * 1 раз/сутки Или Ривароксабан (Ксарелто) 10 мг по  1 таб * 1 раз/сутки,под контролем коагулограмм
Вобэнзим +  по  1 таб * 3 раз/сутки в рот во время еды № 24"
"Алматы","Лекарство леволет "
"Алматы","Мне очень нужно найти Гепарин, везде в аптеках искала, не нашла"
"Нур-султан","Срочно нужен Цеф 3 (10 ампул) и эуфиллин(5 ампул ) "
"Шымкент ","Декстамезон"
"Тараз","Мне нужна финансовая помощь в размере 20 тыс на препарат Клексан. 5169 4931 6114 0473"
"Алматы","Аскорбиновая кислота в ампула Алоэ 2.0 .ищу срочно"
"Almata","Нужен препорат ПРЕДНИЗОЛОН! У КОГО ЕСТЬ ПОЗВАНИТЕ ПОЖАЛУЙСТА."
"Алматы","Здравствуйте! Срочно нужен антибиотик МЕРЕПЕНЕМ. КУПЛЮ."
"Арыс","Дәрі бар ма "
"Алматы","дексаметазон 20 ампул"
"Нур-Султан","Не могу найти раствор ""Гепарин"" Если кто знает где можно заказать или купить этот раствор помогите пожалуйста Бабушка болеет нужны лекарства."
"Алматы","Пожалуйста поспрашивайте у своих знакомых.  Хотела купить,  но в настоящее время в наличии по городу  нет.  Поставка по предзаказу от 7 дней Срочно нужен на прокат кислородный концентратор от 4 литров для моего папы.  Он сейчас лежит в больнице с диагнозом пневмония."
"Алматы","[09.07, 18:53] Elmira Mutallyapova: Добрый вечер!  Срочно нужен на прокат кислородный концентратор от 4 литров для моего папы.  Он сейчас лежит в больнице с диагнозом пневмония [09.07, 18:53] Elmira Mutallyapova: Пожалуйста поспрашивайте у своих знакомых.  Хотела купить,  но в настоящее время в наличии по городу  нет.  Поставка по предзаказу от 7 дней."
"Қызылорда","С витамині керек "
"Алматы","Нужен препарат «Курантил» у Мамы двусторонняя пневмония, врач прописала лекарства, нашли все кроме этого препарата. "
"Алматы ","Здравствуйте меня зовут Расул я с города Алматы. У меня бабушка 75 лет сильно болеет двухсторонняя пневмония с осложнениям лежит в больнице на Кикильбаева но там у них нет лекарств, лечущий врачь сказал привезти лекарства: ""Клексан 0,4"", ""гепарин"", но мы эти лекарства в алмате не можем найти, нигде нету их. Ещё сейчас её нужно уже ложиться в реанимацию но мест нету. Помогите пожалуйста. "
"Талдыкорган","Просьба , нужны талблетки "
"Тараз","Не могу найти лекарства помогите найти пожалуйста. Полиоксидоний в таблетках , курантил ."
"Талдыкорган","Нужна аскорбиновая кислота в ампулах"
"Семей","Очень нужен  МЕТРИД,может кто знает где его можно купить"
"Шымкент","Нужен Дексаметазон "
"Кызылорда","Саламатсыз ба. Эуфиллин, дексаметазон, фраксипарин, меропенем дарилери кажет болып тур. "
"Алматы","Не могу найти Меркацин 500мг Нужно 2 ампулы"
"Нур-Султан","Нужна глюкоза 100мг 10шт"
"Алматы","Здраствуйте! Нужны глюкоза и аскарбиновая кислота, физ.раствор (200) новокаин. Заранее спасибо!"
"Алматы","Дексаметазон, реамберин, система бар ма"
"Туркестан","Мне нужны денги у нас нет прадукты штобы кармить детей у меня есть 2сын у мужа нет работы"
"Almaty","Нам срочно нужен ПЕНОКСАЛ!!!🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻"
"Шымкент ","Нужна консультация врача напишите по ватца Вышли заключение КТ посоветуйте что нужно дальше делат  "
"Костанай ","Нужна ацетилка и парацетамол. "
"Шортанды ","Тысячу раз думала писать не писать, всегда думала зачем люди просят когда можно работать когда знаешь что рождается ребёнок для себя, а не для государства! Или когда у известных людей просят о помощи вообще не понимала потому что считала чем шикарней жизнь тем шикарней расходы! Но до сегодняшнего дня никогда в жизни не думала что дойдёт наша семья до такой ситуации 🤕даже трафик на днях должен закончится последние дни в интернете в сфере информационной активности 😑 Вот реально для чего дипломы государственная работа стабильность когда в один момент остаёшься без продуктов и копеек на хлеб не говоря уже о лекарствах 😔 Очень тяжело когда дети просят что что-то сладкое или фрукты аж плакать хочется 😪и ради детей в долгах как в шлепках в магазине. Я мама двух мальчишек и учитель работаю в школе хотя по закону ещё в декрете должна сидеть вышла из-за не хватки средств не на жизнь, а на выживание в нашем Казахстане. Живём в посёлке 60 км. От Нурсултана муж работает в городе тренером, но как начался карантин ещё с 16 марта всё пошло в пух и прах. На сегодняшний день ситуация такая что 1.продуктов нет (из лекарства только курдючный жир) 2.долги растут в магазинах просто даже из-за хлеба и молока 3.кредиты отдельная история даже говорить не хочется СТЫДНО 4.хоть крыша над головой есть, но после ливней всё стекает теперь в нашем доме происходит следующее замыкание пошло кабель сгорел неделю без света представляете как детям маленьким объяснить что света нет и не могу им из-за этого включить телевизор мультики, сотку заряжаешь у соседей , хорошо что хоть газ есть чтобы кушать готовить🙏 Как говорится мир не без добрых людей сегодня смогли нам сделать свет , но пришла квитанция что из-за долгов могут отрезать🥴как я устала вроде крутиться что что-то пытаешься сделать но всё равно не живёшь, а выживаешь! А скоро зима и снова нас всех закрыли на ЧП на что будем уголь брать даже не представляю. Но всё равно считаю что это мелочи жизни которые когда-нибудь пройдут главное что мои дети здоровы, муж рядом поддерживает спасибо Аллаху 🙌❤ Вы молодцы что так поддерживаете население хотела бы что ваша помощь в первую очередь пришла тем кто действительно нуждается! А вашим деткам кто помогает хочу пожелать главное здоровье, а ваша добро что вы делаете чтобы вам в тысячу раз вернулось ❤"
"Нур-Султан","Куплю акнекутан 16 мг "
"Нур-султан","Ксарелто 10 мг 10 шт"
"Актау","Нужен новый градусник , куплю !"
"Кандыагаш","Мне не хватает денег😥"
"Алматы","Ксарелта"
"Атырау","Мне нужна стестракуи анти биотик и витамины три в одном"
"Тараз","Прошу где можно найти Дексаметазон, натрий хлорид, эуфиллин,  Зиромини, Аскорбинка в ампулах"
"Шымкент ","Нужна консультация пульмонолога и инфекционист Напишите по ватцап срочно"
"Алматы","Я мать 4 детей дочь заболела ангиной мужа отправили в отпуск без содержания денег не хватает на продукты и лекарства если можете пришлите."
"Нур-Султан","Нужен для родителей Ксарелто 10мг или Эликвис 2,5мг в таблетках Куплю, приеду и заберу."
"Нур-султан ","Добрый вечер, нужен зитмак, может у кого нибудь есть, срочно, спасибо. "
"Алматы ","Прошу помочь с лекарством Ксарелто (10мг или 20мг) для мамы! Поставили диагноз пневмонию, очень страшно"
"Алматы","Доброго времени суток. Не могу найти лекарство Ксарелто® (Xarelto®) 20мг, очень нужен для отца. Спасибо за ранее 🙏🏻"
"Алматы","Клексан 0,4 - 5 шту Очень срочно нужно!"
"Алматы","Очень срочно надо лемоксол и физ раствор 100мл"
"Кызылорда","Эйрте Спирива респимат(ингаляция)"
"Москва ","Здравствуйте я мать одиночка с двумя детьми иза карантина осталась без работы и уже 3 месяц не могу оплатить за квартиру пожалуйста помогите чем можете . Любая сумма будет большой помошью . Дети болеют нету денег на лекарство ( "
"Нур-Султан","Нужен вит С и левофлоксацин"
"Алматы","Добрый день мне очень стыдно обращаться с этой проблемой но так как я осталась без работы, мои родители из сын остались без продуктов я не знаю уже  очень проблематично найти работу, была бы очень благодарна помощи финансовой либо просто продуктам питания так как у меня болеет папа он не может выходить на работу "
" Семей","Нужна аскорбиновая кислота в/в,цеф 3 14 ампул, парацетамол"
"Нур-Султан","Для родителей из группы риска нужны след. лекарства: Ксарелто 10мг или Эликвис 2,5 мг в таблетках. Куплю, приеду, заберу. Спасибо!"
"Алматы","Помогите пожалуйста найти лекарство Фраксипарин или его аналоги 🙏"
"Алматы ","Помогите, нужен дексаметазон "
"Талдыкурган","Деньги нужна"
"Шымкент","Дексаметазон 2 упаковки"
"Уральск","Здравствуйте очень нуждаюсь в продуктах  лекарства. Есть 2 детей. Буду благодарна любой помощи"
"Нур-Султан","Мне нужен клексан(хотя бы фраксипирин,курантил,дипиридамол)"
"Алматы","Нужны лекарство маме ,не могу найти  «Колхицин» «Дексаметазон»"
"Талгар","Пее"
"Алматы","Друзья, помогите найти препарат АВИФАВИР. Родственник в реанимации."
"Кызылорда","Мне очень нужна диксамитизон"
"Шымкент ","я мать одиночка. у меня двое детей. живу в квартире. сейчас нет работы. квартиру платить денег нет и продукты дома нету.  и я сама в положении. помогите пожалуйста Алла разы болсын."
"Торғай ","Ал халқым ойласа келіп Торғай Арқалық Амангелді деп бөлінбеуге шешім қабылдадық. Бәрі біздің ел. Басымыз төсекте малымыз төскейде қосылған елміз.  Біріксек үлкен күшпіз!  Әр қайссыңыздың жүрегіңіз ауырып жүргенін білем. Бізден жасаған дүние осы болсын.  Әр тиыныңызға есеп беріп отырамыз. Алла ісімізге берекет берсін!  Торғай Амангелді Арқалық азаматтары!  87785236525 033306878 Алшымбаева Шолпан Айтуаровн Иин 87012245086 5169493107286497"
"Кандыагаш Актюбинский область","Моя бабушка умерла не из за короновируса а с инсульта а тётушка болеет короновирусной пандемией мне 12 лет и я понимаю что моим многим родствинникам нехватает денег нехватает лекарств пожалуйста пришлите хотя пожалуйста деньги😥 это очень трудный момент в моей жизни я в моем городе практически 60% болеют грипом или пандемией моя семья тоже болела в том числе и я в аптека не было парацетамола и до сих пор нету мы покупали кымыз и шубат они много помогли. а сейчас и моя нагашы ажека немножко болеет. Не покажите это людям мне стыдно😥😥"
"Аральск","Мне срочно нужны деньги на систему и детских лекарств. Потому что у нас в ауле нет ни лекарств, ни систем пожалуйста не оставляйте без внимания!!!🙏🙏🙏"
"Семей","Беременность срок 25 недель, вчера была температура 37,5  чуть позже пропало обоняние. Что делать?"
"Уральск ","Здравствуйте! Прошу продуктовой помощи "
"Алматы","Добрый вечер.  Нужно лекарство Левофлоксоцин в ампулах, система , сколько есть . Спасибо "
"Нур-Султан","Очень срочно нужны следующие лекарства: Ксарелта, Фраксипарин, Гепарин, Левофлаксацин, заранее благодарю♥️"
"Нур-Султан","гепасан или клексан, фраксипарин, арикстра в ампулах "
"ҚЫЗЫЛОРДА","Гриппастад чай екікабат айелдерге"
"Қызылорда, Қармақшы","Маған дисоль керек еді системасы "
"Алматы","Последние 2000 тг остались..до зарплаты еще 2 недели..если кто сможет,помогите с деньгами..."
"Нур-Султан ","Прошу помочь денежно, тяжёлый период. БЛАГОДАРЮ. "
"Кызылорда","Очень срочно не могу найти эуфилин 5 мл, всего 1 ампула. Для мамы."
"Тараз","Антибиотики и антивирусные "
"Семей","Температура, нужны жаропонижающие средства."
"Алматы","Нужен Архимакс"
"Ақсай","Ұй жағынан қандай көиек ол үшін нестеу керек "
"Алматы","Нужны препараты реамберин, инфузол, репортаж одно из трех. Срочно"
"Екибастуз","У кого есть Цефтриаксон или мегасеф750 нужен срочно, выкупим!"
"Уральск","Я многодетная мать.у меня 5 дет.живу на съёмной кв.помогите пожалуйста продуктами.пособие и детские ушли на долги квартиру и кредит.пожалуйста помогите"
"Алматы","Здравствуйте,  не могу найти аскорбиновую кислоту внутримышечно "
"Сайрам ауданы, Жібек жолы ауылы. ","5 баланың анасымын, күйеуім жұмыссыз, отбасымызбен ауырып  жатырмыз, азык түлік, акшалай комек болса, алгысым шексіз. "
"Алматы ","Здравствуйте,  теща заболела пневмтнией. Лекарств в больнице нету и в аптеках нету,  не знаем что делать если их не найти, болезнь быстро ухудшилось состояние. Просим вас помочь, нужны лекарства -гепари -клекса -синеко -фраксипорин"
"Алматы","Потеряла ,работу , нет еды. Мать одиночка. "
"Алматы","Парацетамол для взрослых"
"Алматы ","Нужно лекарство дексаметазон 12 мл в ампулах "
"Жалал-Абад","Мне нужно лекарство aktemla "
"Алматы","Нужен антивирусный препарат"
"Нур-султан","Уй акша жагынан комектессениздер екен"
"Алматы","Очень срочно нужен градусник и парацетамол "
"Алматы","Нужны деньги на продукты"
"Алматы","Нужна аскорбиновая кислота в ампулах"
"Усть-Каменогорск","Здравствуйте, не проходите мимо, я мама одиночка 2-их детей, младшему года нету, старшему 5 лет, муж недавно погиб в автокатастрофе, 2020 год оказался для нас очень трагическим  Я подрабатываю на мытье полов в общежитиях, платят копейки, денег едва хватает на квартплату. Для нас сейчас любая финансовая помощь будет спасением. Даже 100тг. С миру по нитке. Я верю в то, что на свете есть добрые люди Дай бог вам здоровья братья и сёстры К номеру привязан Kaspi Gold Заранее благодарю❤"
"Almaty","Нужен кислородный концентратор (кислородные подушки)"
"Алматы ","Дексаметазон "
"Алматы ","Куплю, срочно - Пульсоксиметр . "
"Нурсултан","Здравствуйте,мне нужен дексометазон."
"Уральск","Нужен врач на дом  для консультации, осмотра  и назначения лечения моей маме в г. Уральске. "
"Тараз","6 день отдышка боль в груди что делать незнаю "
"Нальчик г.","Здравтствуйте ! Хотела бы очень попросить помощи ,дело в том что во время пандемии мой супруг потерял работу в связи с этим мы попали в трудное положение у нас 3 детей ,живем мы на съемной квартире стоимость аренды которая состовляет 15 т р ! Хотела бы очень попросить вас помочь нам продуктами питания и если есть возможность одеждой !"
"Кызылорда","Я нуждаюсь в продуктах и лекарствах"
"Алматы","Нужен срочно ГЕПАРИН В ампулах, пожалуйста помогите если можете "
"Экибастуз ","Нужно лекарство от головной боли(или от давление)"
"Кызылорда ","Эуфиллин нужен пожалуйста "
"Кызылорда ","Цеф3 надо срочно"
"Шымкент","Нужен меропенем"
"Алматы","Аскорбинка в ампулах"
"Алматы","Нужен лекарственный препарат Актилизе"
"Нур-Султан ","Моей маме нужны лекарства,доктор назначил,у них в районной больнице нет таких лекарств. Амикоцин-14фл.,Тамифлю75"
"Талдыкорган","Ақшалай көмектесыңызшы"
"Алматы ","Срочно нужен дексаметазон в ампулах"
"Алматы ","Добрый день. Если есть врач, который может проконсультировать просьба помочь. Спасибо. "
"Нур-Султан","Мама болеет короновирусом уже 14 дней, слабость и температура не проходит. Она сама врач и лечила в инфекционке...сама и заразилась... Нужны лекарства для системы, но их очень тяжело найти. Сама нахожусь в положении. Если у кого есть физраствор, витамин с в ампулах, кальций глюконат, калия хлорид 4%. То напишите или позвоните пожалуйста "
"Сарань","Прошу неравнодушных помочь деньгами. Кто сколько может. На этом номере есть каспи. Очень сильно нужны деньги. Спасибо заранее."
"Актау","здравствуйте. Нужна таблетка АЦЦ 600мл - 40 таблеток Аскорбиновая кислота в ампулах - 5 паче Амбро в/м по 2мл 10 шт Шприцы 2 или 5ка - 10 ш 10ка - 10 ш "
"Алматы","Подскажите пожалуйста, где можно найти - ксарелто 10 мг, адаптол 500 мг"
"НурСултан","Мне нужна антибиотики Тамифлю или Азитромицин. Так сама болею из за карантина еще дома без работы. Естественно без денег. Мне в долг эти лекарство. Благодарна буду.Спасибо  Арману и Карине за сайт."
"Алматы","Срочно куплю лекарство «Гепарин», СРОЧНО. "
"Алматы","Ищу лекарства: колчивейт(колцихин), белазидим, целево"
"Актобе","Дексаметазон"
"Алматы","Добрый вечер, я ищу препарат клексан, если у кого нибудь есть такой препарат или знаете где купить подскажите пожалуйста, приедем и купим! "
"Таджикистан","Мать одиночка,сейчас из-за пандемии с работой очень тяжело...да и с маленьким ребёнком не берут...буду рада вашей помощи "
"Тараз ","Прощу помочь с медикаментом сеф-3 или же гентомицин упаковка "
"Алматы","Срочно нужен курантил, или апрокс или вертекс. "
"Шымкент","Эуфиллин 4 ампулы, Преднизалон "
"Алматы","Димедрол и анальгин уколдары керек"
"Нурсултан ","Тысячу раз думала писать не писать, всегда думала зачем люди просят когда можно работать когда знаешь что рождается ребёнок для себя, а не для государства! Или когда у известных людей просят о помощи вообще не понимала потому что считала чем шикарней жизнь тем шикарней расходы! Но до сегодняшнего дня никогда в жизни не думала что дойдёт наша семья до такой ситуации 🤕даже трафик на днях должен закончится последние дни в интернете в сфере информационной активности 😑 Вот реально для чего дипломы государственная работа стабильность когда в один момент остаёшься без продуктов и копеек на хлеб не говоря уже о лекарствах 😔 Очень тяжело когда дети просят что что-то сладкое или фрукты аж плакать хочется 😪и ради детей в долгах как в шлепках в магазине. Я мама двух мальчишек и учитель работаю в школе хотя по закону ещё в декрете должна сидеть вышла из-за не хватки средств не на жизнь, а на выживание в нашем Казахстане. Живём в посёлке 60 км. От Нурсултана муж работает в городе тренером, но как начался карантин ещё с 16 марта всё пошло в пух и прах. На сегодняшний день ситуация такая что 1.продуктов нет (из лекарства только курдючный жир) 2.долги растут в магазинах просто даже из-за хлеба и молока 3.кредиты отдельная история даже говорить не хочется СТЫДНО 4.хоть крыша над головой есть, но после ливней всё стекает теперь в нашем доме происходит следующее замыкание пошло кабель сгорел неделю без света представляете как детям маленьким объяснить что света нет и не могу им из-за этого включить телевизор мультики, сотку заряжаешь у соседей , хорошо что хоть газ есть чтобы кушать готовить🙏 Как говорится мир не без добрых людей сегодня смогли нам сделать свет , но пришла квитанция что из-за долгов могут отрезать🥴как я устала вроде крутиться что что-то пытаешься сделать но всё равно не живёшь, а выживаешь! А скоро зима и снова нас всех закрыли на ЧП на что будем уголь брать даже не представляю. Но всё равно считаю что это мелочи жизни которые когда-нибудь пройдут главное что мои дети здоровы, муж рядом поддерживает спасибо Аллаху 🙌❤ Вы молодцы что так поддерживаете население хотела бы что ваша помощь в первую очередь пришла тем кто действительно нуждается! А вашим деткам кто помогает хочу пожелать главное здоровье, а ваша добро что вы делаете чтобы вам в тысячу раз вернулось ❤"
"Экибастуз ","Я прохожу лечение в онкологии,химиотерапию. У меня проблема с печенью. Нужны гепапротекторы(гептрал, годекс, резалют про )Гептрал есть в ампулах и таблетках.Благодарю ❤"
"Кызылорда ","Укол салатын адам керек"
"Г Есик","Мне нужна лекарство витамины"
"Кызылорда","С витамин"
"Алматы ","Аскорбиновая кислота Цифтриаксон Мильгамма Цинк "
"Алматы","Прошу помогите🙏🙏🙏 мне нужны препараты клексан или фраксипарин. Если у кого то есть отзовитесь пожалуйста🙏 куплю"
"Актобе","Если есть возможность помочь деньгами, в течении недели потеряли 5 родственников, вынуждена просить из-за безысходности "
"Нур-Султан ","Левофлоксацин 500мг "
"г.Павлодар","Здравствуйте. У меня сын инвалид 2группа, после инфаркта, после стац.лечения лежит дома, ухудшение здоровья. Дочка школьница, у меня онкология и диабет 2 типа, сейчас не могу работать, ухаживаю за сыном. У него постоянные судороги и одышка, держится температура. Мы болеем, гет лекарств, нет денег, вся пенсия ушла на лекарства. Прошу помощи ради детей. Спасибо за ваши добрые дела. "
"Г Есик","Я одна работаю зарплата не хватает муж дома безработныи  за детьми смотрит"
"Тараз","Нуждаюсь в любых антибиотиках в виде уколов,  аскорбинка  и т.д"
"Алматы ","Добрый день! Нужен метрид и анальгин."
"Алматы","Нужны лекарств Ксаренто и дексаметазон. Клексан или  или фраксипарин."
"Нур-Султан","Добрый день, нужна аскорбиновая кислота, для внутримышечного введения, также цифтриаксон🙏🏻"
"Алматы","Не могу найти в аптеках ксарелто или эликвист. Ещё нужен дексаметазон, реамберин. У меня острый бронхит, у супруга - пневмония (осложнение коронавирусной инфекции). "
"Нур-Султан ","Десаметазон - нужно это лекарство "
"Алматы","Температура высокая каждый день"
"Уральск ","Здравствуйте. Мне необходимы антибиотики ""ЦефТриАксон"" и ""лидокаин"". Если вас не затруднит и у вас есть возможность . Прошу вас помочь. "
"Усть-Каменогорск ","Не могу наити в городе Препарат Тамифлю "
"Павлодар ","Куплю лекарства для инъекций Левофлоксацин, Гепарин, Дексаметазон, Цефтазидим, Кислородную маску. "
"Алматы ","Нужны лекарство ЭПИКС500срочно денёк нет чтобы их купить пачка 12к стоит а их нужно пить каждый день. Всем спасибо "
"Алматы","Нужно Лекарство «дексометазон». Подскажите где можно купить?"
"Тараз","Аскорбиновая кислота в ампулах,  дексаметазон в ампулах"
"Алматы","ищем дексаметозон 2 уп и клексан"
"Алматы","Очень нужно лекарство эуфиллин в ампулах для внутривенного введения."
"Тараз","Аскорбиновая кислота в ампулах"
"Алматы ","Метипред 250 мл 2 штуки и 500 мл 1 штука, в порошке "
"Алматы","Мне нужны именно таблетки  пимафуцин, Я беременна нигде в аптеке его нет(( если поможете где найти или купить была бы очень благодарна"
